Sequence,Type,Symbol,Side,Price,Quantity
1,ADD,AAPL,BUY,230.15,100
2,ADD,MSFT,SELL,510.25,50
3,ADD,NVDA,BUY,180.40,200
4,TRADE,AAPL,BUY,230.20,75
5,MODIFY,AAPL,BUY,230.25,150
6,CANCEL,MSFT,SELL,510.25,50
7,ADD,GOOGL,BUY,195.80,120
8,TRADE,NVDA,SELL,180.35,100
9,ADD,AMZN,SELL,223.50,80
10,EXECUTE,AAPL,BUY,230.25,150
11,ADD,META,BUY,725.40,60
12,TRADE,GOOGL,BUY,195.85,40
13,CANCEL,NVDA,BUY,180.40,200
14,ADD,TSLA,SELL,315.20,90
15,MODIFY,AMZN,SELL,223.45,100
16,ADD,NFLX,BUY,1290.75,30
17,TRADE,TSLA,SELL,315.15,45
18,EXECUTE,META,BUY,725.40,60
19,ADD,AMD,BUY,178.60,300
20,TRADE,AMD,BUY,178.65,150
